ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,monthly,monthly_lower,monthly_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2014-01-03,1262.2664529632,-1164.2758770768774,3708.722915970187,1262.2664529632,1262.2664529632,-147.6027781819149,-147.6027781819149,-147.6027781819149,-272.2180831788857,-272.2180831788857,-272.2180831788857,428.5771640918498,428.5771640918498,428.5771640918498,-303.961859094879,-303.961859094879,-303.961859094879,0.0,0.0,0.0,1114.663674781285
2014-01-04,1262.804771913617,-1805.4767358416716,3107.5865395683477,1262.804771913617,1262.804771913617,-484.95456105590864,-484.95456105590864,-484.95456105590864,-164.14095823112868,-164.14095823112868,-164.14095823112868,72.18283697355571,72.18283697355571,72.18283697355571,-392.9964397983356,-392.9964397983356,-392.9964397983356,0.0,0.0,0.0,777.8502108577084
2014-01-05,1263.343090864034,-1363.1806163066751,3270.5725658875017,1263.343090864034,1263.343090864034,-403.1899904368669,-403.1899904368669,-403.1899904368669,-38.72798941962315,-38.72798941962315,-38.72798941962315,109.60328283194154,109.60328283194154,109.60328283194154,-474.0652838491852,-474.0652838491852,-474.0652838491852,0.0,0.0,0.0,860.153100427167
2014-01-06,1263.881409814451,-1085.5780652951794,3329.072504400775,1263.881409814451,1263.881409814451,-69.7102134158963,-69.7102134158963,-69.7102134158963,6.678145647080993,6.678145647080993,6.678145647080993,469.82935229864313,469.82935229864313,469.82935229864313,-546.2177113616204,-546.2177113616204,-546.2177113616204,0.0,0.0,0.0,1194.1711963985547
2014-01-07,1264.419728764868,-1961.3495163281707,2988.4242252539048,1264.419728764868,1264.419728764868,-867.3878037932049,-867.3878037932049,-867.3878037932049,-28.36122612226454,-28.36122612226454,-28.36122612226454,-230.33913556238574,-230.33913556238574,-230.33913556238574,-608.6874421085546,-608.6874421085546,-608.6874421085546,0.0,0.0,0.0,397.0319249716632
2014-01-09,1265.496366665702,-1774.796261032686,3022.9779057474275,1265.496366665702,1265.496366665702,-666.6596552026855,-666.6596552026855,-666.6596552026855,-87.90044967823026,-87.90044967823026,-87.90044967823026,123.77949796271356,123.77949796271356,123.77949796271356,-702.5387034871688,-702.5387034871688,-702.5387034871688,0.0,0.0,0.0,598.8367114630165
2014-01-10,1266.034685616119,-1352.7044371920465,3238.5073401079458,1266.034685616119,1266.034685616119,-371.20903399530465,-371.20903399530465,-371.20903399530465,-66.33858280719295,-66.33858280719295,-66.33858280719295,428.5771640922083,428.5771640922083,428.5771640922083,-733.4476152803202,-733.4476152803202,-733.4476152803202,0.0,0.0,0.0,894.8256516208144
2014-01-11,1266.5730045665362,-1739.5567920269516,2953.1953690934643,1266.5730045665362,1266.5730045665362,-732.1560762571895,-732.1560762571895,-732.1560762571895,-50.59892155931329,-50.59892155931329,-50.59892155931329,72.1828369737466,72.1828369737466,72.1828369737466,-753.7399916716228,-753.7399916716228,-753.7399916716228,0.0,0.0,0.0,534.4169283093466
2014-01-13,1267.6496424673703,-1419.839572590851,3224.3629715670554,1267.6496424673703,1267.6496424673703,-328.3891849950083,-328.3891849950083,-328.3891849950083,-34.216169401422334,-34.216169401422334,-34.216169401422334,469.82935229833515,469.82935229833515,469.82935229833515,-764.002367891921,-764.002367891921,-764.002367891921,0.0,0.0,0.0,939.2604574723621
2014-01-14,1268.1879614177872,-2109.7921500077914,2526.460360558659,1268.1879614177872,1268.1879614177872,-948.5433988835349,-948.5433988835349,-948.5433988835349,37.061961491979595,37.061961491979595,37.061961491979595,-230.3391355636711,-230.3391355636711,-230.3391355636711,-755.2662248118435,-755.2662248118435,-755.2662248118435,0.0,0.0,0.0,319.64456253425226
